000A94A0,"Faith: Let them try."
0197F2A8,"Aline: That’s it. Connect the OmniStat drive and the virus will do the rest. And you should probably expect some guards to show up any minute."
01992E11,"HIGHGROUND ATTACK"
019A66D8,"APP MENU"
019BE7C7,"SOFTWARE ENGINEERS"
019C95B2,"Rebecca: Well done. Could’ve been faster, but still, well done."
01A93297,"Diversion missions require you to DISTRACT KrugerSec in order to help out a fellow offGrid. Take on these to hone and IMPROVE your SKILLS as a runner.  To distract KrugerSec you must DRAW ATTENTION to yourself by appearing at five different surveillance points before the time runs out. If you FAIL to keep KrugerSec focused on you, the other offGrids will be DISCOVERED and you will fail the run."
01AA0DF7,"Press {0:input} to open the map."
01B27E6A,"Emergency shutdown of sections A through F. "
01BC59C8,"SENIOR DIRECTOR EVENTS AND MEDIA"
01C8A551,"PLAY RECORDING"
01CA6E41,"STOP RECORDING"
01CA8913,"Yesterday, you let no less than two spies break into the research area. "
01D267EF,"Show the surface map"
01DE42B8,"CERTIFICATION MANAGEMENT"
01E2A413,"Nomad: I’ve been getting a few other components for the outCaste, and with these chips they’ll have everything they need."
01F0BC7A,"Noah: Faith. Don’t. Move."
01F204EA,"Nomad: It’s the building with the big KrugerArms-sign on top. On the upper floors."
01F7AB42,"Rewarded for collecting 60 electronic parts"
01F9ECE0,"I'm ready."
01FD1544,"TRIANGLES RED"
0212CC7E,"I’m damn lucky you were nearby. Thank you."
0214665E,"DIVERSION OPPORTUNITY"
02193BF8,"FINGER ON THE PULSE"
021D6C9B,"Some days I miss the sun so much."
021D7334,"Noah: I see it. That was the Bauble Mall that just blew up."
022BE72D,"+ Side Mission: Pigeons Down"
02304B71,"Plastic: Too many questions! I don’t know her name! Maybe you don’t know her. She was expanding my metaGrid access, like you did. But we lost contact."
023A40D1,"Faith: Time to make a house call."
023B07AF,"Nomad: It’s been boring here without you, Faith. I’m glad you’re back."
0243BF47,"DASH GOAL"
024EB329,"TERMS OF SERVICE"
0253234E,"{0:d} XP"
02533FF3,"LOW"
0256AD4C,"Rebecca: Black November has grown considerably in the last few years. There’s a lot of unrest among the loCaste, and soon they will be ready to rise."
027AEEB8,"Faith: The more I hear about Reflection, the less I like it."
027CF72D,"Nomad: I knew you would."
029AA5EC,"I just don't think these results match up at all."
029DFC68,"SHIFT / COMBAT SHIFT"
02A70D88,"Faith: There. I lost them."
02BDBC82,""
02BDBC83,"Faith! Cat! Where are you?!"
02BDBC84,"Every new day holds a promise."
02BDBC85,"Faith, I’m scared ..."
02BDBC86,"You can waste it, or spend it advancing yourself, furthering your prospects and your career. "
02BDBC87,"As a future employ of a corporation of your choice your possibilities are infinite ..."
02BDBC88,"Last day, huh? I thought we’d keep you here forever, leech."
02BDBC89,"Or maybe you’d like another three months?"
02BDBC8A,"So easy ... Let’s go. We have a full day ahead."
02BDBC8B,"... have served a twelve month sentence to which nine months were added for several incidents of insubordination."
02BDBCA3,"Deemed ready for conditional release. Now, if it was up to me ..."
02BDBCA4,"Upon release you must seek immediate employment, and will be monitored through your gridLink."
02BDBCA5,"If you do not find employment within fourteen days you will be relocated to a Greyland facility."
02BDBCA6,"Do you understand these conditions?"
02BDBCA7,"Just get me out of here."
02BDBCA8,"Dressing rooms to the left, leech."
02BDBCA9,"Dogen sends his best. Enjoy your freedom. "
02BDBCAA,"So Noah, what’s the Beat?I heard they let a runner out of juve today.I heard she’s eager to run.She has been gone a long time ...I also heard she’s sorry.Maybe she learned something while she was away.Maybe.I’m so sorry ...You look older.Screw you.Nice place you got here. Mind if I stay a while?I was hoping you would.And about that run?Go talk to Birdman. He’ll put you through your paces.The new guy seems a bit uptight.Icarus? He’s a good kid. Runs better than anyone I’ve seen.Than anyone?Go see the Birdman and we’ll find out. I’ll be here.Dogen sent me a greeting.Yeah ... We’ll deal with him in time. Now go. Astound me.Thank you.Easy there. Leave my door alone.Patience never was your virtue, Faith.I thought you were taking a nap. Isn’t that what old people do?Careful with that mouth, girl.I guess two years of peace and quiet is all I get.Yeah. I missed you too.Noah wanted me to “test” you. I told him I would do no such thing. But I have a dash for you. Enough to test yourself.I fed you already, Calliope! Get off me! Damn rats with wings. Won’t leave me alone. But they have their uses.Patience never was your virtue.True. That’s why I can smell my own. Now off with you. Show them other runners that you too have your uses.It’s good to have you back, girl."
02C282F0,"Icarus: Faith? Can you home in on my signal? I’m in a bit of a bind here."
02D4BD67,"So you’re a runner, right? Can you lead off KrugerSec while we have a small meeting here? There’s some scrip in it for you."
02DDF515,"FACILITIES"
02E568FD,"Dogen: Faith, enjoy the view, but don’t stick around. I expect KrugerSec are sending people to investigate this little “accident” as we speak."
02E96B5F,"Hey, I’m over here."
02F2FA33,"Failed to connect to EA Online. Social features will be unavailable. Please try again."
02F375CA,"I just wanted you to know why I’ve stayed away lately. There’s someone looking for me, "
02F8F13F,"FOCUS SHIELD"
02FB48C3,"{0:input} to jump"
02FB5CF7,"Plastic: OK, you can’t finish it now. Maybe later?"
03000D1E,"SKIPPING"
03073A8F,"{0:s}"
031C5561,"Nomad: The guy works for Kruger, but hates his job. He has access to a lot of stuff. Said this sensor chip is a real game changer."
031E3510,"Automated Voice: Attention! This week’s winner of the Cascadia Employ Lottery will receive a latest Bryson Model Z. Register your gridPrint to sign up."
03408395,"\"
0340A35B,"Delivery confirmed and the eggs read as intact. Well done. Now we can hopefully get on with our lives ..."
03419E07,"START {0:d} {1:f} {2:s} END"
034739C9,"I love you."
03550B6D,"Plastic: We got a door unlocked for you, Faith. Building maintenance access on the back."
0361C313,"{0:input}"
036A50B6,"Thanks. And good that you stayed out of sight. The less KrugerSec knows about this the better. We’ll transfer payment to you."
037132AE,"Rebecca: Cut the chatter."
037AD49E,"SENIOR SOFTWARE ENGINEER"
03A71E4B,"CAN'T USE FAST TRAVEL WHILE PLAYING SOCIAL CONTENT"
03A9D1BC,"Faith: Another upgrade, huh."
03AA5264,"SELECT CHALLENGE"
03AB76B0,"VIVE LA RESISTANCE"
03B49A5B,"The girls shouldn’t have to grow up in the world we're heading toward now."
03C3150C,"INTERNATIONAL PUBLISHING ORGANIZATION DIGITAL SALES"
03CAF9CA,"Plastic: She does too. Faith, I’ll compare that location with the city plans. Should have something for you when you’ve talked to Isabel. I mean, Caitlyn."
03D5A5D0,"DIRECTOR GLOBAL CONTENT STRATEGY"
03D702B0,"STANDING DOWN"
03E47E6E,"Icarus: Damn it, that terminal can’t be reached. We’re gonna have to crash something into it. "
03E6885C,"EXTENDED SLIDE"
040C1A5E,"Runner. The package contains a delicate cake, baked with a few non-policy ingredients. Make sure it reaches Dogen intact."
041C3D10,"Faith: It’s chilly up here."
042FED4C,"Deal damage without losing momentum"
043677E3,"Plastic: Sort of a pity we won’t get to see it."
043C6FD2,"Faith: Cat! Talk to me!"
043DDA6B,"LSHIFT"
04454AFE,"LEAD ONLINE ENGINEER"
04466FF3,"TOGGLE"
046A5871,"Heyy!"
047408C4,"SENIOR IT SERVICE SPECIALIST"
0475CDAB,"Automated Voice: Alert! Intruder detected. KrugerSec reinforcements dispatched to gridNode control area."
0476B212,"Purchase failed"
049DF924,"Come on smile Sargeant"
04ACD26F,"Damn runt! I should’ve had you killed with your leech parents."
04ACD270,"You’ve lost, Kruger. Your control ends here."
04ACD271,"Reflection is not about control! It’s about survival."
04ACD272,"For you and the other families maybe. "
04ACD273,"It’s time you all withered and died."
04ACD274,"By destroying Reflection, you're dooming your dear sister as well!"
04ACD275,"I'm setting her free!"
04ACD276,"Hardly. Isabel has a chronic lung condition."
04ACD277,"With Reflection, we’ve managed to keep it at bay. Destroy it--"
04ACD28F,"You’re lying."
04ACD290,"Am I? Am I lying? You almost managed to kill her once. "
04ACD291,"Why not just go finish the job?"
04ACD292,"Stay back!"
04ACD293,"Everyone around you dies, Faith. "
04ACD294,"Did it ever occur to you, that maybe you're the one to blame?"
04ACD295,"Shut up!"
04ACD296,"You killed my family!"
04ACD297,"You killed my friends!"
04ACD298,"And you killed Noah ..."
04ACD2B0,"What the hell are you waiting for? Stop that thing! And kill her!"
04ACD2B1,"Cat!"
04B5BDBA,"Noah: Keep running, Faith - you’ll lose them soon enough!"
04BA2711,"Return to the Lair"
04BC80B7,"ANIMATION CINEMATICS"
04E7CA7A,"Plastic: There. Thank you, Faith. Soon I will have the entire city covered. Imagine that. Unlimited access. Unlimited power ..."
04ECAF70,"ONLINE SERVICE OPERATIONS"
04F267A4,"LIGHTING ARTIST"
050BF00E,"Yeah. By the way, did you hear? That girl, Faith, who took the vaccine?"
0524A3CD,"Or just a bullet in the head."
05297499,"INTERNATIONAL PUBLISHING ORGANIZATION MARKETING"
0540A319,"Noah: Just remember, Faith. Dogen looks to himself first."
05412CA9,"["
0544DA7F,"Plastic: Of course. I just had to calculate the frequency alternator. And then I (static)."
054A7365,"INTEL"
055622CE,"CHARACTER ARTISTS"
0559309F,"the first of which is you never pick a fight with KrugerSec."
055CC9A5,"Icarus: Woah, there’s a crapload of VTOLs coming in from KrugerSec HQ. Probably some crackdown on Black November."
056774B4,"Faith: Nice one. Thanks Nomad. I’m on my way."
056CCF75,"Still waiting for confirmation."
057C8CFE,"LOCALIZATION VOICE TALENT ITALIAN"
0583F7B9,"MASSIVE DAMAGE when in FLOW  Upgrade to FLOW ATTACK  When in FLOW, use the environment to increase the damage of your FLOW ATTACKS."
05894AC5,"That hurts!"
059DB6BB,"Hey, over here."
05B76373,"COLLECTIBLES"
05BAA284,"Faith: So when am I getting a real run, Noah?"
05BB5135,"Automated Voice: Attention! All verifiable reports of Runner activity in Centurian Yards will be rewarded."
05BEBC22,"Noah: Birdman will be glad to see you. He’s one of the few things that hasn’t changed at all."
05C6E07A,"Obtain SCRIPS by scavaging parts from different terminals in the city, stealing them from KrugerSec personnel, or taking on DELIVERY MISSIONS "
05CCFA1F,"Faith: Alright, it’s off."
05D218AE,"$XXX,XXX.XX"
05D610BB,"STEAL SECURITY CHIP"
05E657F3,"RPM SERVICE MANAGEMENT"
05F93C0D,"There is so much to do, you wouldn't believe."
060C0D23,"Rewarded for completing Into the light"
06117725,"STREAMS TEAL"
06162E02,"Dogen claims that Noah could still be alive. If that's true ISABEL KRUGER might know more, and you should talk to her to find out more."
0627FDBC,"Thank you Tristan. Be safe, my love."
06415E73,"I don't know what to do."
0665EBF9,"We just need to get enough people to hear the message. "
066E0CFE,"Icarus: I do. This."
0673BA4F,"STUN ADVANTAGE"
0674E47E,"Faith: Crap! The guy just showed up!"
067BD752,"UP"
0682F700,"Plastic: Can I keep the drive? I want to study the blueprint."
0683EB1A,"Icarus: Hey, let’s all just accept that I’m the better runner."
06AD29CA,"GLOBAL COMMUNICATION GROUP"
06BF5DDF,"Nomad: Yeah, look."
06C56E11,"MAGROPE"
06DD719B,"TIME TRIAL"
06DF4E88,"Excellent. Just lead them away from here."
06EE0611,"+ Main Mission: Encroachment + Dash + Fragile Delivery + Covert Delivery + Diversion"
06EF34D3,"I have the whole afternoon off, just for you."
06F3F2B3,"WAYPOINT TUTORIAL"
06F8602C,"CERTIFICATION PROJECT MANAGER"
06FBCE6C,"Hey... You’re not. "
06FC7E65,"FIBER WEAVE "
070AE65B,"Noah: Keep going, Faith. They should give up soon."
0715BB05,"The MAG Rope hooks onto special red attachment points, allowing Faith to swing across gaps. Faith raises her arm to indicate she's within range to use it.  {0:input}(HOLD) TO ACTIVATE"
0723792F,"KEY BINDINGS"
07344101,"DICE OPERATIONS QA"
07352B7B,"Move along."
073AB90C,"GLITCH KEY REQUIRED"
0741A71C,"This is where we used to talk. "
0744FBC4,"COMPOSITING"
074515DA,"COMPOSITORS"
075048D9,"HOLD {0:input} to swing."
07566863,"{0:s} BEAT YOU ON {1:s} WITH A TIME OF {2:time:mm:ss:ff}"
077373A6,"Nomad: Faith, please! Find a safe house. Now!"
0779846D,"You must place the first checkpoint closer to the marker."
077C597E,"+ Main Mission: Benefactor + Side Mission: The metaGrid + GridNode: Downtown + Intervention + Diversion"
0780FFFA,"UX LEAD"
07876799,"Plastic: Woah!"
07949BF4,"Kruger’s daughter been kidnapped."
079898C1,"Oh, man. Two weeks. And this happens."
07A0C245,"SECRET BAG +{0:d} XP"
07A3533F,"Dogen: It should be right in front of you."
07A4EA50,"GLOBAL ANALYTICS"
07A8B3C7,"Aline: Possibly. I just don’t see how you can profit here."
07AB8C7E,"Birdman: And you did good time too. One thing left and we’re done. "
07B29DC4,"Let’s get her too. Doubled bonus."
07CC8F7A,"DIALOGUE BOOST"
07D1409C,"We’re done. Let’s go."
07D19C41,"City Alert escape"
07D5E207,"Dogen: I’ve sent out feelers to a few select business associates and should hear back within a few days. I look forward to putting this unfortunate episode behind us."
07E197AF,"RESTART CHALLENGE"
07E1E2B8,"Rebecca: And it works! Well done, Faith! Watch out for KrugerSec’s response team, when you go back down. Seems they sent one based on the earlier sighting."
07EB2836,"Almost done here. Just a little longer."
07EC40F4,"Faith: I missed you."
07EE840C,"Icarus: Damn, that’s impressive ..."
07F19A8C,"That's a good girl."
07FBDE15,"TALK TO BIRDMAN"
0809AC8C,"I don’t know. I don’t feel very amazing. "
0813E4C3,"Noah: I’ve upgraded your Beat with a map mod of Glass. You’ll need it to get around, and to find the smaller runs spread out across the city."
08345BD1,"I met with Rebecca yesterday. She was acting cagey about something. Wouldn't tell me what."
083775D4,"THE STORAGE DEVICE WAS REMOVED DURING USE. DELETE FAILED."
08396233,"PRISONER X"
084C2536,"ADDITIONAL TECHNICAL DIRECTOR"
0859502D,"Noah: (static)--all runners--(static)--away. KrugerSec is raiding us. (sounds of gunfire, commotion)"
0867921F,"Nomad: Good. See if you can find a way inside."
087334AA,"Plastic: Seems you tripped the sensor after all. I’ve silenced the alarm but if you do it too many times I won’t be able to contain the signal."
087555FF,"Start Replay"
087F3B8E,"MUSIC LICENSING MANAGER"
088531E9,"RUNNER KIT AVAILABLE"
088AFE0B,"Go to Zephyr Station"
088AFE2C,"Upload the virus"
088AFE2D,"Follow Cat"
08914A19,"HEAD OF PRODUCT MARKETING GSA"
08916EA0,"HEAD OF PRODUCT MARKETING PEM"
089184A7,"HEAD OF PRODUCT MARKETING UKI"
08972B89,"ADDITIONAL SOUND DESIGNER"
089BDAD4,"{0:d} XP gained!"
089D96AF,"Plastic: Here we go ... Go to the next one - hurry!"
08A5FED7,"Is everything OK? You seem nervous."
08AEF971,"Icarus: Faith! Faith, if you hear this - Rebecca is moving Isabel to a safe house above ground. Your sister really can’t breathe down here. There’s something messed up with her lungs. I’m going with them, but I’m not sure what Rebecca--"
08B4A2F4,"SENIOR MANAGER BUSINESS ANALYTICS"
08C4EAA7,"Faith: The what?"
08CD9766,"MISSIONS"
08D17797,"How's the work coming along?"
08DAAF54,"BRAND QUALITY ASSURANCE TESTERS"
08F3707F,"RESTART MISSION"
08FCF05A,"Faith: That’s useful."
091550FC,"NEW UPGRADE POINT"
091AE88B,"Aline: Plastic, have you ever been wrong?"
09265A5D,"Plastic: I’d ask you to describe the room, but I guess you’re busy. Are you busy? No, sorry. Forget I asked. I’m sure you’re very busy since you’re not saying anything."
093BA0DC,"ASSC. ANIMATION DIRECTOR"
093EE532,"Icarus: It really sucks just being here watching ..."
093F915E,"AT A GLANCE:  Pirandello clothes the citizens of Cascadia. They set the trends, decide the latest fashion, and further cement the strata in society by offering different clothes ranges to the Corporate Houses and regular employs, making sure the House range is priced way above the pay-level of a regular employee. The clothing lines are complemented with beauty and hygiene-products in the same price-ranges. In Cascadia the way you dress and smell is an immediate class identifier.  CURRENT CHAIRMAN: Carla Pirandello TOTAL MARKET SHARE: 3% NUMBER OF EMPLOYS: 1 994 319 as of FY48 MAIN OWNERS: House Pirandello CORPORATE SLOGAN: “Dress for Success!” MAIN SUBSIDIARIES: Noztrum, Evade, Pirandello roughSpun, Cyclon FOUNDED: FY18"
094CE64F,"Plastic: Did you find those pipes yet? From what I can see the aperture should be large enough for you to squeeze through."
0955A7D3,"Skilled freeclimbing"
0956E60B,"Control! I've got Carpenter! Submit!"
09600EFC,"Noah: Judging from their comms they’re about to give up, Faith. You’re almost safe."
0966A079,"Faith: There. It worked! It’s shutting down."
096EB967,"DOCUMENTS"
09722034,"Henchwoman: Yes. Yes, he will. Now, run along."
0974D3BE,"INSTALLING MISSION... {0:d}%"
097A6093,"Development Zone secret bags {0:d} / {1:d}"
09814700,"I’m over here."
09841022,"Long stumbles cause KNOCKS to do high damage"
0985E07D,"THE PLAYER PROFILE DATA IS DAMAGED AND CANNOT BE LOADED. DO YOU WANT TO RETRY?"
098AF179,"I have a friend who has a friend who has a cousin who has a friend who knows somebody."
098C2A47,"Rewarded for completing Georges' Garrison"
09919449,"SCANLINE ORANGE"
0999B9EF,"Nomad: Alright, I’m in position. I’ll wait for you here."
09B71EB5,"Henchwoman: Let me repeat the main requirement: Don’t be seen."
09B7A9AF,"Advanced graphene based undershirt. Capable of dampening both projectile and blunt trama."
09B7AEBE,"Locate the computer that holds the blueprint data and hack it."
09BB62EF,"Jumping and Vaulting"
09C2C2D1,"RESEARCH MODERATOR"
09C8A525,"Automated Voice: Attention! Interaction with Runners is a breach of Conglomerate policy and will be punished with deportation to the Greylands."
09E94871,"Faith: Just what I thought. I’m getting them out, Dogen. The fire alarm should do it."
09EE6FA8,"Shimmering Heights"
09EE6FA9,"Crystal Valley"
09EE6FAA,"Eden Village"
0A05FAEE,"PLAY STORY"
0A08868B,"FRENCH"
0A17A45A,"Icarus: Keep it up until you get it right. I don’t want you covering my back if you can’t fight properly."
0A1D83AC,"Downtown"
0A2D584E,"ASSOCIATE PRODUCT MANAGER"
0A4AA0BC,"They're raiding the Lair, Rebecca. "
0A7AB786,"It’s been a long time. Let’s catch up later."
0A94A73D,"Faith: Yeah, we’ll leave, soon."
0A97705D,"Containment Cell Emergency Release procedure initiated. "
0AB3C9FB,"ARCHITECTURE"
0AB91E76,"Run a Dash"
0ABCF456,"Icarus: You don’t want to end up like those guys."
0AC011EA,"SENIOR PRODUCT MANAGER UKI"
0ACCA932,"Plastic: I never said you weren’t! I thought I could control the gridNode through AllCom but the firewall wouldn’t allow it!"
0AD87E46,"VP DIGITAL BUSINESS & FRANCHISE MANAGEMENT"
0AE9DFA9,"Meeting begun. Don’t come back here with KrugerSec on your tail now, you hear."
0B016D0E,"Citizen: Thank you. Thank you so much!"
0B08CF15,"RUNNER'S VISION"
0B157B26,"Receiver location uploaded. Payment upon delivery. Good luck."
0B198199,"CREATE BEAT L.E."
0B1D82A7,"Development Zone South"
0B1D82A8,"Development Zone North"
0B30A3BB,"Plastic: Get further down. See if you can find ventilation or maintenance access."
0B333A33,"Await your turn, employ."
0B3FBC9C,"Don’t loiter. Move."
0B514626,"But the auditive effects are strong enough to warrant further research, don’t you agree?"
0B6842EC,"+1 CRITICAL STAMINA REGENERATION  Regenerate an additional stamina over time after recovering from a CRITICAL STATE"
0B798D0F,"GERMAN"
0B7A3CD5,"Plastic: That’s due to the change in air density. I just looked it up. Oxygen content will go down as well, but that’s not a serious problem below 18000 feet. And you won’t go that high."
0B7D6500,"Damn it. I was hoping to cheer her up. Guess I’ll have to find another way."
0B8EE5FA,"Noah: Faith, are you there?"
0BA14AE4,"Plastic: Great! I’m ready!"
0BACA1B3,"Icarus: Just keep moving!"
0BC6A6B7,"Icarus: Damn it ... We need to disappear, Faith. I talked to Rebecca Thane and she’s offering us sanctuary."
0BC9876D,"ENGAGEMENT MANAGER"
0BD83D12,"Icarus: You’re already higher up than any runner in Glass has ever been. "
0C019C4A,"Help plastic expand her metaGrid access"
0C0C50E5,"POST PROCESS QUALITY"
0C111BF1,"who can help us if it comes to that. "
0C122093,"Icarus: Faith, I hear gunfire! We gotta move faster!"
0C127C7D,"Nomad: No worries. I’ve marked the nearest antenna on your beatLink."
0C1A6479,"SENIOR PROGRAM MANAGER"
0C25BF3E,"OFFICE MANAGER"
0C29501C,"ADDITIONAL SOUND EDITING"
0C445C4D,"PERSISTENCE DESIGNER"
0C4A14FE,"VISUAL ADJUSTMENTS"
0C5624A4,"Faith: I asked nicely but he wouldn’t step aside."
0C5CD61C,"Noah: The less we know about that the better. "
0C6DDAA7,"RED {0:d}"
0C6DDAA8,"BLACK {0:d}"
0C6DDAA9,"SILVER {0:d}"
0C6DDAAA,"GLASS {0:d}"
0C6DDAAB,"PLASTIC {0:d}"
0C78C9FD,"Icarus: Yeah, it can’t be easy being a regular employ these days. I almost pity them."
0C886981,"LOCALIZATION"
0C91B312,"AN IMPATIENT MAN"
0C9968E3,"No, Noah, listen to me! Listen, OK? You can't cut a gridlink like that without them noticing! "
0CAA26F6,"+ Billboard Hack"
0CAB4BC1,"Faith: What’s the Beat?"
0CC15529,"What happened?"
0CD41EB7,"Faith: OK. What to you need? You know what I won’t do."
0CD4B50F,"Henry is an idiot."
0CD59CE2,"{0:input} to purchase new upgrades"
0CF3DC0D,"Movement: SPRINGBOARD to WALLRUN to JUMP"
0CF6A303,"LOCALIZATION VOICE TALENT JAPANESE"
0CF7519F,"Opportunity Missions: {0:d} of {1:d}"
0D071915,"FIRST PARTY ACCOUNT MANAGER"
0D0C89E4,"Select Challenge"
0D15FA46,"ENFORCER"
0D1B1014,"REMOVE BOOKMARK"
0D36F6A4,"{0:input}, {1:input}"
0D3E039A,"SYSTEMS ENGINEERING"
0D472EC5,"SENIOR DEVELOPMENT DIRECTOR"
0D5D190A,"You failed. Scrap the mission."
0D60159F,"Plastic: There. Going up!"
0D6BAB2D,"Faith: I’m destroying the final sentry drone now."
0D6BB338,"COMMUNITY ENGAGEMENT"
0D7D515D,"Noah: Faith, I heard about the open window. Could just be a cleaner forgot, but I don’t think so. Be careful."
0D7EB0DF,"DICE OPERATIONS ANTI CHEAT"
0D81F2A7,"Icarus: Good idea. I have a feeling Rebecca won’t accept failure. Scary woman."
0D878EEE,"Unknown"
0D89C1FF,"Icarus: I didn’t even know about this place, what happened here?"
0D9B64AE,"CASTING DIRECTOR AND PRODUCTION MANAGER"
0D9C3397,"MAGROPE PULL-DOWN"
0DA2F818,"START {0:d} {1:f} {2:~} END"
0DC658C3,"Oooh, I have a bad feeling about this… "
0DCFA812,"BRIGHTNESS"
0DD475DE,"Faith: Or I just leave you for KrugerSec to find."
0DD79F92,"Automated Voice: Attention! Secure your own luxurious apartment in the soon to be completed Rezoning district by excelling at work. Today, tomorrow, every day."
0DD7DF75,"Nomad: I’d do it myself, but you were always the fighter, Faith. Would be nice to put one of those posts out of commission. At least for a while. Show KrugerSec who’s boss."
0E020285,"FRAGILE DELIVERY OPPORTUNITY"
0E084D54,"Should you be so inclined, there is a delivery pick-up available near your current position."
0E0AF060,"Rebecca: I said, subdue her!"
0E0D876A,"PROGRAM MANAGER"
0E1D264A,"INTERACTIVE EXECUTIVE PRODUCER"
0E2EF8B9,"AT A GLANCE:  The single remaining banking, investment and corporate law firm in Cascadia. WFYO is involved in all the other corporations to some extent, and some claim they are the ones wielding the real power in Cascadia. WFYO stands for Wanderborn, Fairchild, Yari and Olsen - the original founders. House Yari and Olsen have since fallen into disrepute and been removed from the Corporate Charter.  CURRENT CHAIRMAN: Salomon Wanderborn-Fairchild TOTAL (OFFICIAL) MARKET SHARE: 10% NUMBER OF EMPLOYS: 1 593 102 as of FY48 MAIN OWNERS: House Wanderborn-Fairchild CORPORATE SLOGAN: “We Make Money Grow” MAIN SUBSIDIARIES: WFYO Bank, WFYO Insurance, WFYO Legal, WFYO Capital FOUNDED: FY12 (the final merger)"
0E546509,"I’m over here."
0E568549,"Plastic: Thanks. Kuma will be happy."
0E58F0CC,"There we’ll get our vehicle and start the long drive to Aurora and what I hope will be a better life for us all. "
0E5E8B21,"Yes"
0E6D8FCC,"SAVING PLAYER PROFILE DATA. PLEASE DO NOT TURN OFF YOUR SYSTEM. "
0E824C3B,"Let’s be reasonable. Stop resisting and submit and we won’t beat the crap out of you, what do you say?"
0E831F58,"He was planning to escape."
0E850D52,"You have failed the tutoral. Restarting..."
0E9EACD0,"GAMEPLAY WEAPON ENGINEERS"
0EA5D557,"Nomad: Woah, that was fast. They've deployed a perimeter scanner. You need to leave. Now! Find a safe house!"
0EA8A908,"Rebecca: KrugerSec responding. Several VTOLs incoming. Everyone, get ready."
0EB8395B,"VEHICLE DESIGNERS"
0EBAF450,"Plastic: It’s not a question of if."
0EC387D8,"RUNNER TAG BACKGROUND"
0EC68E8E,"INTEL: GUARDIAN"
0ED91660,"Ah, you, runner. I’m over here."
0EDEC103,"OPERATIONS ANALYTICS"
0EF470CA,"Meeting is over. Give us a little more time to break it up."
0EF77F72,"UX & ONLINE SOFTWARE ENGINEERS"
0EFB5C38,"Nomad: Don’t take this wrong, but I prefer to paint without anyone looking over my shoulder, OK?"
0F0DF868,"{0:d} / {1:d}  ELECTRONIC PARTS"
